Date,Petrol,Diesel
2020-01-17,128.09,132.72
2020-01-16,128.03,132.7
2020-01-15,128.03,132.72
2020-01-14,128.01,132.7
2020-01-13,128.02,132.67
2020-01-10,127.82,132.51
2020-01-09,127.66,132.34
2020-01-08,127.52,132.19
2020-01-07,127.24,131.85
2020-01-06,127.09,131.65
2020-01-03,126.68,131.08
2020-01-02,125.43,129.78
2019-12-31,125.43,129.78
2019-12-30,125.43,129.78
2019-12-27,125.43,129.78
2019-12-24,125.43,129.78
2019-12-23,125.43,129.78
2019-12-20,125.37,129.63
2019-12-19,125.35,129.58
2019-12-18,125.38,129.56
2019-12-17,125.5,129.62
2019-12-16,125.77,129.75
2019-12-13,125.77,129.75
2019-12-12,125.82,129.76
2019-12-11,125.62,129.65
2019-12-10,125.9,129.85
2019-12-09,125.9,129.85
2019-12-06,125.9,129.85
2019-12-05,125.87,129.84
2019-12-04,125.87,129.84
2019-12-03,125.87,129.86
2019-12-02,125.94,129.9
2019-11-29,125.94,129.9
2019-11-28,125.62,129.46
2019-11-27,125.62,129.46
2019-11-26,126.21,129.95
2019-11-25,126.21,129.95
2019-11-22,126.21,129.95
2019-11-21,126.21,129.95
2019-11-20,126.31,129.99
2019-11-19,126.25,129.97
2019-11-18,126.29,129.91
2019-11-15,126.24,129.97
2019-11-14,126.23,129.95
2019-11-13,126.22,130.01
2019-11-12,126.28,129.99
2019-11-11,126.28,130.03
2019-11-08,126.28,130.03
2019-11-07,126.25,130.03
2019-11-06,126.23,130.05
2019-11-05,126.25,130.05
2019-11-04,126.08,129.83
2019-11-01,126.63,130.37
2019-10-31,126.63,130.37
2019-10-30,126.35,130.19
2019-10-29,126.29,129.97
2019-10-28,126.29,129.97
2019-10-25,126.59,130.43
2019-10-24,126.59,130.43
2019-10-23,126.71,130.62
2019-10-22,127.01,130.88
2019-10-21,127.05,130.84
2019-10-18,127.56,131.52
2019-10-17,127.58,131.55
2019-10-16,127.58,131.55
2019-10-15,127.91,131.87
2019-10-14,127.91,131.87
2019-10-11,127.92,132
2019-10-10,127.95,132
2019-10-09,127.92,132.02
2019-10-08,127.95,132.05
2019-10-07,127.92,131.91
2019-10-04,128.03,132.09
2019-10-03,127.96,132.02
2019-10-02,127.99,132.08
2019-10-01,127.95,132.06
2019-09-30,127.84,131.91
2019-09-27,127.97,131.97
2019-09-26,127.97,131.97
2019-09-25,127.96,131.93
2019-09-24,127.93,131.82
2019-09-23,127.88,131.66
2019-09-20,127.86,131.67
2019-09-19,127.72,131.41
2019-09-18,127.72,131.41
2019-09-17,127.74,131.35
2019-09-16,127.77,131.26
2019-09-13,128.36,131.39
2019-09-12,128.4,131.41
2019-09-11,128.43,131.45
2019-09-10,128.59,131.54
2019-09-09,128.59,131.54
2019-09-06,128.59,131.54
2019-09-05,128.61,131.56
2019-09-04,128.82,131.72
2019-09-03,128.82,131.72
2019-09-02,128.88,131.66
2019-08-30,128.92,131.73
2019-08-29,128.86,131.72
2019-08-28,128.88,131.77
2019-08-27,128.94,131.72
2019-08-23,129.1,131.88
2019-08-22,128.97,131.82
2019-08-21,128.99,131.88
2019-08-20,129.02,131.88
2019-08-19,128.74,131.88
2019-08-16,128.74,131.88
2019-08-15,128.74,131.88
2019-08-14,128.74,131.88
2019-08-13,129.16,132.04
2019-08-12,129.36,132
2019-08-09,129.2,132.12
2019-08-08,129.19,132.09
2019-08-07,129.24,132.17
2019-08-06,129.24,132.14
2019-08-05,129.23,132.03
2019-08-02,129.15,132.04
2019-08-01,129.21,131.95
2019-07-31,129.07,131.92
2019-07-30,128.98,131.86
2019-07-29,129.01,131.81
2019-07-26,128.95,131.81
2019-07-25,128.85,131.76
2019-07-24,128.83,131.79
2019-07-23,128.88,131.78
2019-07-22,128.88,131.67
2019-07-19,128.91,131.78
2019-07-18,128.72,131.61
2019-07-17,128.72,131.61
2019-07-16,128.35,131.38
2019-07-15,128.28,131.23
2019-07-12,128.04,131.21
2019-07-11,127.9,131.16
2019-07-10,127.96,131.17
2019-07-09,127.8,131.02
2019-07-08,127.8,131.02
2019-07-05,127.98,131.15
2019-07-04,127.98,131.15
2019-07-03,127.77,131.04
2019-07-02,127.66,131.02
2019-07-01,127.62,130.9
2019-06-28,127.68,131.07
2019-06-27,127.6,131.07
2019-06-26,127.68,131.2
2019-06-25,127.66,131.27
2019-06-24,127.61,131.12
2019-06-21,127.87,131.61
2019-06-20,128.18,132.02
2019-06-19,128.18,132.02
2019-06-18,128.35,132.39
2019-06-17,128.3,132.17
2019-06-14,129.22,133.83
2019-06-13,129.33,133.94
2019-06-12,129.52,134.16
2019-06-11,129.71,134.34
2019-06-10,129.66,134.33
2019-06-07,130.26,134.99
2019-06-06,130.52,135.38
2019-06-05,130.62,135.47
2019-06-04,130.67,135.52
2019-06-03,130.6,135.51
2019-05-31,130.57,135.54
2019-05-30,130.52,135.46
2019-05-29,130.43,135.47
2019-05-28,130.3,135.36
2019-05-24,130.34,135.26
2019-05-23,130.34,135.26
2019-05-22,129.98,135.16
2019-05-21,129.75,134.99
2019-05-20,129.47,134.93
2019-05-17,128.91,134.31
2019-05-16,128.91,134.31
2019-05-15,128.84,134.25
2019-05-14,128.84,134.25
2019-05-13,128.76,134.3
2019-05-10,128.68,134.16
2019-05-09,128.38,134
2019-05-08,128.58,134.09
2019-05-07,128.5,134.1
2019-05-03,128.53,133.98
2019-05-02,128.23,133.8
2019-05-01,128.06,133.7
2019-04-30,127.62,133.4
2019-04-29,127.44,133.37
2019-04-26,126.71,133.06
2019-04-25,126.83,133.07
2019-04-24,126.68,132.9
2019-04-23,126.5,132.85
2019-04-18,126.06,132.43
2019-04-17,125.84,132.3
2019-04-16,125.41,131.97
2019-04-15,124.67,131.58
2019-04-12,124.67,131.58
2019-04-11,124.35,131.45
2019-04-10,124.03,131.35
2019-04-09,123.86,131.24
2019-04-08,123.52,131.11
2019-04-05,123.32,130.96
2019-04-04,123.31,130.86
2019-04-03,122.96,130.82
2019-04-02,122.62,130.69
2019-04-01,122.58,130.67
2019-03-29,122.22,130.64
2019-03-28,122.6,130.64
2019-03-27,121.85,130.52
2019-03-26,121.6,130.48
2019-03-25,121.59,130.42
2019-03-22,120.81,130.28
2019-03-21,121,130.27
2019-03-20,120.97,130.3
2019-03-19,121.03,130.32
2019-03-18,120.98,130.2
2019-03-15,120.9,130.24
2019-03-14,120.75,130.15
2019-03-13,120.76,130.19
2019-03-12,120.59,130.03
2019-03-11,120.57,129.94
2019-03-08,120.29,129.92
2019-03-07,120.63,129.97
2019-03-06,120.48,129.97
2019-03-05,120.59,129.98
2019-03-04,120.57,129.97
2019-03-01,120.42,129.88
2019-02-28,120.34,129.79
2019-02-27,120.25,129.72
2019-02-26,120.18,129.6
2019-02-25,120.08,129.45
2019-02-22,119.73,129.2
2019-02-21,119.7,129.1
2019-02-20,119.67,129.04
2019-02-19,119.5,128.85
2019-02-18,119.38,128.67
2019-02-15,119.35,128.68
2019-02-14,119.29,128.64
2019-02-13,119.34,128.66
2019-02-12,119.34,128.69
2019-02-11,119.27,128.53
2019-02-08,119.42,128.7
2019-02-07,119.12,128.58
2019-02-06,119.48,128.73
2019-02-05,119.53,128.7
2019-02-04,119.55,128.64
2019-02-01,119.6,128.73
2019-01-31,119.65,128.72
2019-01-30,119.65,128.73
2019-01-29,119.82,128.81
2019-01-28,119.84,128.8
2019-01-25,119.76,128.81
2019-01-24,119.68,128.74
2019-01-23,119.75,128.75
2019-01-22,119.94,128.84
2019-01-21,119.86,128.76
2019-01-18,119.98,128.82
2019-01-17,119.77,128.81
